Province,City,CDH23,EM,LCTR,Zone
Liaoning,沈阳,34308.0,0.49217400109085235,0.4954881983025504,Low Load / High Carbon
Jilin,长春,40956.0,0.42176175159090257,0.5066101007433024,Low Load / High Carbon
Heilongjiang,哈尔滨,31788.0,0.5969202725472686,0.5404466784163612,Low Load / High Carbon
Beijing,北京,57495.0,0.49658725376593277,0.83903123059369,Low Load / High Carbon
Tianjin,天津,73674.0,0.5546066685588451,1.141423455642098,High Load / High Carbon
Hebei,石家庄,73830.0,0.6711970757201616,1.419505768474002,High Load / High Carbon
Shanxi,太原,46917.0,0.685475348847011,0.8972245200697199,Low Load / High Carbon
Inner Mongolia,呼和浩特,27324.0,0.7748701062937063,0.5463147671026422,Low Load / High Carbon
Shandong,济南,78747.0,0.4886320363420896,1.058423849410556,High Load / High Carbon
Shanghai,上海,58140.0,0.31995892517971714,0.3645362055728313,Low Load / Low Carbon
Jiangsu,南京,82455.0,0.5177584759904372,1.083477090808,High Load / High Carbon
Zhejiang,杭州,77547.0,0.37993024822201715,0.7331047973263798,High Load / High Carbon
Anhui,合肥,94908.0,0.6963872334461011,1.705697691300182,High Load / High Carbon
Fujian,福州,86499.0,0.32778028816466553,0.6372820261549618,High Load / Low Carbon
Jiangxi,南昌,112263.0,0.43116439062181444,1.235174232607112,High Load / High Carbon
Henan,郑州,76803.0,0.5002964598288349,1.131110093367212,High Load / High Carbon
Hubei,武汉,95895.0,0.2613670941325883,0.7227012448664784,High Load / Low Carbon
Hunan,长沙,101613.0,0.40306277354397846,1.073962353569472,High Load / High Carbon
Chongqing,重庆,107724.0,0.26950097840909093,0.9038701876950344,High Load / Low Carbon
Sichuan,成都,44754.0,0.07626908424908425,0.2103248329909484,Low Load / Low Carbon
Guangdong,广州,135012.0,0.3319408565518713,0.9782059660111002,High Load / Low Carbon
Guangxi,南宁,133098.0,0.325494121756487,1.059561365773107,High Load / Low Carbon
Hainan,海口,198132.0,0.22901398640416706,0.854399719560446,High Load / Low Carbon
Guizhou,贵阳,61083.0,0.2976004367149758,0.5192489129241075,Low Load / Low Carbon
Yunnan,昆明,17925.0,0.06452257986738999,0.1490086048794985,Low Load / Low Carbon
Shaanxi,西安,45111.0,0.5888822442595674,0.7610898789340208,Low Load / High Carbon
Gansu,兰州,7155.0,0.393108785748,0.1751502729871149,Low Load / High Carbon
Qinghai,西宁,1137.0,0.03693207729468599,0.1334556016039802,Low Load / Low Carbon
Ningxia,银川,42333.0,0.6411282199247076,0.7162629558174853,Low Load / High Carbon
Xinjiang,乌鲁木齐,29124.0,0.6907236153966028,0.5482720985351945,Low Load / High Carbon
Tibet,拉萨,0.0,0.4694820364270479,0.13294528957984,Low Load / High Carbon
