年份,地点,情景,制冷剂,Unit_LCTR_pK
2025,沈阳,ssp126,R410A,0.9527988840518749
2025,沈阳,ssp126,R32,0.4648820827840432
2025,沈阳,ssp126,R290,0.4136865738938198
2025,沈阳,ssp245,R410A,0.9856771203454755
2025,沈阳,ssp245,R32,0.4954881983025504
2025,沈阳,ssp245,R290,0.4436739599040121
2025,沈阳,ssp585,R410A,1.001958207975378
2025,沈阳,ssp585,R32,0.5108813868864188
2025,沈阳,ssp585,R290,0.4576703082606368
2025,长春,ssp126,R410A,0.9958609615372321
2025,长春,ssp126,R32,0.5057628025494428
2025,长春,ssp126,R290,0.4578398170780814
2025,长春,ssp245,R410A,0.9970929075890588
2025,长春,ssp245,R32,0.5066101007433024
2025,长春,ssp245,R290,0.4617140717786433
2025,长春,ssp585,R410A,1.038982046637381
2025,长春,ssp585,R32,0.5460092622075844
2025,长春,ssp585,R290,0.5117394161301713
2025,哈尔滨,ssp126,R410A,1.008460070092078
2025,哈尔滨,ssp126,R32,0.5165907174739376
2025,哈尔滨,ssp126,R290,0.4572322123605955
2025,哈尔滨,ssp245,R410A,1.033654040993853
2025,哈尔滨,ssp245,R32,0.5404466784163612
2025,哈尔滨,ssp245,R290,0.4933415413111897
2025,哈尔滨,ssp585,R410A,1.013537398976687
2025,哈尔滨,ssp585,R32,0.5218363491713933
2025,哈尔滨,ssp585,R290,0.4763454930239663
2025,北京,ssp126,R410A,1.277543802935394
2025,北京,ssp126,R32,0.7708849329344297
2025,北京,ssp126,R290,0.7972325281741577
2025,北京,ssp245,R410A,1.349660913878616
2025,北京,ssp245,R32,0.83903123059369
2025,北京,ssp245,R290,0.8563570047027051
2025,北京,ssp585,R410A,1.401570249609263
2025,北京,ssp585,R32,0.888034099264851
2025,北京,ssp585,R290,0.9225859955561309
2025,天津,ssp126,R410A,1.621006415956498
2025,天津,ssp126,R32,1.093541901080061
2025,天津,ssp126,R290,1.153207433447595
2025,天津,ssp245,R410A,1.672799618881868
2025,天津,ssp245,R32,1.141423455642098
2025,天津,ssp245,R290,1.205413874881506
2025,天津,ssp585,R410A,1.748191409379183
2025,天津,ssp585,R32,1.21223770910631
2025,天津,ssp585,R290,1.298058025374087
2025,石家庄,ssp126,R410A,1.873315771440949
2025,石家庄,ssp126,R32,1.331360376330139
2025,石家庄,ssp126,R290,1.442649523025466
2025,石家庄,ssp245,R410A,1.967924486834146
2025,石家庄,ssp245,R32,1.419505768474002
2025,石家庄,ssp245,R290,1.552114871078216
2025,石家庄,ssp585,R410A,2.064380429186197
2025,石家庄,ssp585,R32,1.510078498939925
2025,石家庄,ssp585,R290,1.653737317378055
2025,太原,ssp126,R410A,1.323710149257138
2025,太原,ssp126,R32,0.8150470655262826
2025,太原,ssp126,R290,0.7804716011939418
2025,太原,ssp245,R410A,1.411495070833042
2025,太原,ssp245,R32,0.8972245200697199
2025,太原,ssp245,R290,0.8642772462799014
2025,太原,ssp585,R410A,1.434113832311987
2025,太原,ssp585,R32,0.9183676601517119
2025,太原,ssp585,R290,0.9153907374145934
2025,呼和浩特,ssp126,R410A,1.077866662682413
2025,呼和浩特,ssp126,R32,0.581678968672062
2025,呼和浩特,ssp126,R290,0.5127312270886973
2025,呼和浩特,ssp245,R410A,1.041037347611871
2025,呼和浩特,ssp245,R32,0.5463147671026422
2025,呼和浩特,ssp245,R290,0.4715527421116629
2025,呼和浩特,ssp585,R410A,1.105093158127077
2025,呼和浩特,ssp585,R32,0.607705244747057
2025,呼和浩特,ssp585,R290,0.5390936735915378
2025,济南,ssp126,R410A,1.573129332110748
2025,济南,ssp126,R32,1.047656022099404
2025,济南,ssp126,R290,1.09005602727883
2025,济南,ssp245,R410A,1.584223060780767
2025,济南,ssp245,R32,1.058423849410556
2025,济南,ssp245,R290,1.092475486600482
2025,济南,ssp585,R410A,1.598837066237357
2025,济南,ssp585,R32,1.072569955223908
2025,济南,ssp585,R290,1.109143479154205
2025,上海,ssp126,R410A,0.8556097797514857
2025,上海,ssp126,R32,0.3708629762021433
2025,上海,ssp126,R290,0.2743868766590099
2025,上海,ssp245,R410A,0.8487041620821144
2025,上海,ssp245,R32,0.3645362055728313
2025,上海,ssp245,R290,0.2659172548937343
2025,上海,ssp585,R410A,0.9028675215514838
2025,上海,ssp585,R32,0.4145939949333776
2025,上海,ssp585,R290,0.3072525356378971
2025,南京,ssp126,R410A,1.682986961117589
2025,南京,ssp126,R32,1.151620431556377
2025,南京,ssp126,R290,1.164387675302951
2025,南京,ssp245,R410A,1.610765593583324
2025,南京,ssp245,R32,1.083477090808
2025,南京,ssp245,R290,1.044719423489115
2025,南京,ssp585,R410A,1.692257794651026
2025,南京,ssp585,R32,1.159760337400525
2025,南京,ssp585,R290,1.137356261858298
2025,杭州,ssp126,R410A,1.305602028807929
2025,杭州,ssp126,R32,0.7960545598878662
2025,杭州,ssp126,R290,0.7543694523604308
2025,杭州,ssp245,R410A,1.239352347435525
2025,杭州,ssp245,R32,0.7331047973263798
2025,杭州,ssp245,R290,0.6566793783597378
2025,杭州,ssp585,R410A,1.263492730291988
2025,杭州,ssp585,R32,0.7563673771695588
2025,杭州,ssp585,R290,0.6948505819701059
2025,合肥,ssp126,R410A,2.454736098420105
2025,合肥,ssp126,R32,1.878682246002013
2025,合肥,ssp126,R290,2.023485425210695
2025,合肥,ssp245,R410A,2.271658668813427
2025,合肥,ssp245,R32,1.705697691300182
2025,合肥,ssp245,R290,1.744094079092187
2025,合肥,ssp585,R410A,2.485431122411223
2025,合肥,ssp585,R32,1.907736172048032
2025,合肥,ssp585,R290,1.98836040412049
2025,福州,ssp126,R410A,1.165748092953675
2025,福州,ssp126,R32,0.6624377158957131
2025,福州,ssp126,R290,0.5770914682198066
2025,福州,ssp245,R410A,1.13934851975955
2025,福州,ssp245,R32,0.6372820261549618
2025,福州,ssp245,R290,0.5524913901718742
2025,福州,ssp585,R410A,1.146941930825538
2025,福州,ssp585,R32,0.6442596738723024
2025,福州,ssp585,R290,0.5576381159838832
2025,南昌,ssp126,R410A,1.904732883593219
2025,南昌,ssp126,R32,1.361565455216399
2025,南昌,ssp126,R290,1.383229400577102
2025,南昌,ssp245,R410A,1.771847930898442
2025,南昌,ssp245,R32,1.235174232607112
2025,南昌,ssp245,R290,1.193337630437393
2025,南昌,ssp585,R410A,1.815041876142131
2025,南昌,ssp585,R32,1.275883013413675
2025,南昌,ssp585,R290,1.247227600518875
2025,郑州,ssp126,R410A,1.616778234997362
2025,郑州,ssp126,R32,1.089328863468662
2025,郑州,ssp126,R290,1.171461499694243
2025,郑州,ssp245,R410A,1.660010486186714
2025,郑州,ssp245,R32,1.131110093367212
2025,郑州,ssp245,R290,1.198458908377664
2025,郑州,ssp585,R410A,1.703331931845405
2025,郑州,ssp585,R32,1.170929158349069
2025,郑州,ssp585,R290,1.256159899788401
2025,武汉,ssp126,R410A,1.342447005634342
2025,武汉,ssp126,R32,0.8320981022783673
2025,武汉,ssp126,R290,0.8404673443254679
2025,武汉,ssp245,R410A,1.22608212980463
2025,武汉,ssp245,R32,0.7227012448664784
2025,武汉,ssp245,R290,0.6872297690816688
2025,武汉,ssp585,R410A,1.398878193850483
2025,武汉,ssp585,R32,0.8853813725703586
2025,武汉,ssp585,R290,0.8781100402066577
2025,长沙,ssp126,R410A,1.759633806929722
2025,长沙,ssp126,R32,1.225113171155821
2025,长沙,ssp126,R290,1.230512598277306
2025,长沙,ssp245,R410A,1.600569972102099
2025,长沙,ssp245,R32,1.073962353569472
2025,长沙,ssp245,R290,1.033338989899742
2025,长沙,ssp585,R410A,1.628577958567556
2025,长沙,ssp585,R32,1.100408725560462
2025,长沙,ssp585,R290,1.074108841164694
2025,重庆,ssp126,R410A,1.333330023908451
2025,重庆,ssp126,R32,0.823540244033299
2025,重庆,ssp126,R290,0.892005689331053
2025,重庆,ssp245,R410A,1.418681369932568
2025,重庆,ssp245,R32,0.9038701876950344
2025,重庆,ssp245,R290,0.9545571301498923
2025,重庆,ssp585,R410A,1.615674084919161
2025,重庆,ssp585,R32,1.089608847635845
2025,重庆,ssp585,R290,1.175294459732874
2025,成都,ssp126,R410A,0.704073812365587
2025,成都,ssp126,R32,0.2322030222640906
2025,成都,ssp126,R290,0.1687279940604035
2025,成都,ssp245,R410A,0.6809573151488756
2025,成都,ssp245,R32,0.2103248329909484
2025,成都,ssp245,R290,0.1446138218710865
2025,成都,ssp585,R410A,0.693731516111401
2025,成都,ssp585,R32,0.2224310892794446
2025,成都,ssp585,R290,0.1584539654180098
2025,广州,ssp126,R410A,1.509783461475982
2025,广州,ssp126,R32,0.9848232026069211
2025,广州,ssp126,R290,0.901626677821219
2025,广州,ssp245,R410A,1.5023852984665
2025,广州,ssp245,R32,0.9782059660111002
2025,广州,ssp245,R290,0.8922873045429287
2025,广州,ssp585,R410A,1.512562798181424
2025,广州,ssp585,R32,0.9872085619629309
2025,广州,ssp585,R290,0.8987204775039586
2025,南宁,ssp126,R410A,1.584266715660059
2025,南宁,ssp126,R32,1.05743228486726
2025,南宁,ssp126,R290,1.014633231042956
2025,南宁,ssp245,R410A,1.586610017688
2025,南宁,ssp245,R32,1.059561365773107
2025,南宁,ssp245,R290,1.008850286538526
2025,南宁,ssp585,R410A,1.637694688894914
2025,南宁,ssp585,R32,1.106998733338779
2025,南宁,ssp585,R290,1.074463817843573
2025,海口,ssp126,R410A,1.252007980940753
2025,海口,ssp126,R32,0.7395780526010075
2025,海口,ssp126,R290,0.654041319902184
2025,海口,ssp245,R410A,1.375484369169469
2025,海口,ssp245,R32,0.854399719560446
2025,海口,ssp245,R290,0.7714815706940202
2025,海口,ssp585,R410A,1.302319562991
2025,海口,ssp585,R32,0.7862123867002945
2025,海口,ssp585,R290,0.6947030973280112
2025,贵阳,ssp126,R410A,1.085683096229343
2025,贵阳,ssp126,R32,0.5907797452923023
2025,贵阳,ssp126,R290,0.5255805884255904
2025,贵阳,ssp245,R410A,1.010751844047398
2025,贵阳,ssp245,R32,0.5192489129241075
2025,贵阳,ssp245,R290,0.4522752898694466
2025,贵阳,ssp585,R410A,1.033471241101078
2025,贵阳,ssp585,R32,0.5409089900683361
2025,贵阳,ssp585,R290,0.4784383367746448
2025,昆明,ssp126,R410A,0.6185535022319649
2025,昆明,ssp126,R32,0.1515272372105013
2025,昆明,ssp126,R290,0.08372368347430338
2025,昆明,ssp245,R410A,0.6158847500296383
2025,昆明,ssp245,R32,0.1490086048794985
2025,昆明,ssp245,R290,0.08107917600679093
2025,昆明,ssp585,R410A,0.6188038538263169
2025,昆明,ssp585,R32,0.1517274700262404
2025,昆明,ssp585,R290,0.0837220623714497
2025,西安,ssp126,R410A,1.214953225428727
2025,西安,ssp126,R32,0.7126717677151572
2025,西安,ssp126,R290,0.6754762741627653
2025,西安,ssp245,R410A,1.267108457274631
2025,西安,ssp245,R32,0.7610898789340208
2025,西安,ssp245,R290,0.7308777821068436
2025,西安,ssp585,R410A,1.296877646504586
2025,西安,ssp585,R32,0.7895404516575636
2025,西安,ssp585,R290,0.7688729242260465
2025,兰州,ssp126,R410A,0.645939981511406
2025,兰州,ssp126,R32,0.1770234378921147
2025,兰州,ssp126,R290,0.1080599191636789
2025,兰州,ssp245,R410A,0.6441205198524649
2025,兰州,ssp245,R32,0.1751502729871149
2025,兰州,ssp245,R290,0.1058747295611058
2025,兰州,ssp585,R410A,0.6480785691390096
2025,兰州,ssp585,R32,0.1791624707608357
2025,兰州,ssp585,R290,0.1099528554379604
2025,西宁,ssp126,R410A,0.5990855978398919
2025,西宁,ssp126,R32,0.1334371831011159
2025,西宁,ssp126,R290,0.06660230769018499
2025,西宁,ssp245,R410A,0.5991064663671363
2025,西宁,ssp245,R32,0.1334556016039802
2025,西宁,ssp245,R290,0.0666046229252663
2025,西宁,ssp585,R410A,0.5992892009100896
2025,西宁,ssp585,R32,0.1336303108423542
2025,西宁,ssp585,R290,0.06676793381176674
2025,银川,ssp126,R410A,1.177076340635296
2025,银川,ssp126,R32,0.6758641625691965
2025,银川,ssp126,R290,0.6258501501071259
2025,银川,ssp245,R410A,1.220945439463251
2025,银川,ssp245,R32,0.7162629558174853
2025,银川,ssp245,R290,0.6517447699108012
2025,银川,ssp585,R410A,1.235932276634744
2025,银川,ssp585,R32,0.7317294511137418
2025,银川,ssp585,R290,0.6804144029813499
2025,乌鲁木齐,ssp126,R410A,1.017162711484908
2025,乌鲁木齐,ssp126,R32,0.5253804352496146
2025,乌鲁木齐,ssp126,R290,0.4751203390311939
2025,乌鲁木齐,ssp245,R410A,1.041909505283065
2025,乌鲁木齐,ssp245,R32,0.5482720985351945
2025,乌鲁木齐,ssp245,R290,0.4805482277734313
2025,乌鲁木齐,ssp585,R410A,1.095533650033186
2025,乌鲁木齐,ssp585,R32,0.5986300120155237
2025,乌鲁木齐,ssp585,R290,0.5391392764049834
2025,拉萨,ssp126,R410A,0.59855125670548
2025,拉萨,ssp126,R32,0.13294528957984
2025,拉萨,ssp126,R290,0.06615495006421303
2025,拉萨,ssp245,R410A,0.59855125670548
2025,拉萨,ssp245,R32,0.13294528957984
2025,拉萨,ssp245,R290,0.06615495006421303
2025,拉萨,ssp585,R410A,0.59855125670548
2025,拉萨,ssp585,R32,0.13294528957984
2025,拉萨,ssp585,R290,0.06615495006421303
2026,沈阳,ssp126,R410A,0.9394375336735463
2026,沈阳,ssp126,R32,0.452021868221767
2026,沈阳,ssp126,R290,0.4005590490076375
2026,沈阳,ssp245,R410A,0.9817427903481362
2026,沈阳,ssp245,R32,0.4915202342806397
2026,沈阳,ssp245,R290,0.4400400669580714
2026,沈阳,ssp585,R410A,0.9970613167302307
2026,沈阳,ssp585,R32,0.5059324932563651
2026,沈阳,ssp585,R290,0.4514524478859527
2026,长春,ssp126,R410A,0.9570376813476597
2026,长春,ssp126,R32,0.4688567303515038
2026,长春,ssp126,R290,0.4207380085813226
2026,长春,ssp245,R410A,0.9927395038356791
2026,长春,ssp245,R32,0.5022519133613234
2026,长春,ssp245,R290,0.4612115334874797
2026,长春,ssp585,R410A,1.035253663951899
2026,长春,ssp585,R32,0.5424561437166281
2026,长春,ssp585,R290,0.5064275871174503
2026,哈尔滨,ssp126,R410A,0.9878508051111012
2026,哈尔滨,ssp126,R32,0.4968339730374712
2026,哈尔滨,ssp126,R290,0.4399046531676049
2026,哈尔滨,ssp245,R410A,1.067801199030353
2026,哈尔滨,ssp245,R32,0.5725891021634022
2026,哈尔滨,ssp245,R290,0.5303761291049487
2026,哈尔滨,ssp585,R410A,1.054699547755585
2026,哈尔滨,ssp585,R32,0.5600932074411328
2026,哈尔滨,ssp585,R290,0.517855092214177
2026,北京,ssp126,R410A,1.225381513260725
2026,北京,ssp126,R32,0.7218620086420023
2026,北京,ssp126,R290,0.740266143346856
2026,北京,ssp245,R410A,1.334115708282264
2026,北京,ssp245,R32,0.8241415905181225
2026,北京,ssp245,R290,0.8458795536257809
2026,北京,ssp585,R410A,1.352662443204914
2026,北京,ssp585,R32,0.841743784307062
2026,北京,ssp585,R290,0.8616202791818097
2026,天津,ssp126,R410A,1.576176670131502
2026,天津,ssp126,R32,1.051609183168401
2026,天津,ssp126,R290,1.101675301811228
2026,天津,ssp245,R410A,1.668443673154305
2026,天津,ssp245,R32,1.137226984835277
2026,天津,ssp245,R290,1.209866711019669
2026,天津,ssp585,R410A,1.714842817261881
2026,天津,ssp585,R32,1.181079067253357
2026,天津,ssp585,R290,1.256885528348142
2026,石家庄,ssp126,R410A,1.840427393643587
2026,石家庄,ssp126,R32,1.301038784902449
2026,石家庄,ssp126,R290,1.400625914372744
2026,石家庄,ssp245,R410A,1.9452379510574
2026,石家庄,ssp245,R32,1.39821608966626
2026,石家庄,ssp245,R290,1.536582772365959
2026,石家庄,ssp585,R410A,2.029721706453772
2026,石家庄,ssp585,R32,1.477893662256499
2026,石家庄,ssp585,R290,1.610563411247782
2026,太原,ssp126,R410A,1.326573719763898
2026,太原,ssp126,R32,0.8175961484386202
2026,太原,ssp126,R290,0.7851468115080167
2026,太原,ssp245,R410A,1.399355282961192
2026,太原,ssp245,R32,0.8855423774939405
2026,太原,ssp245,R290,0.8638885554192474
2026,太原,ssp585,R410A,1.419503419452491
2026,太原,ssp585,R32,0.904169748519398
2026,太原,ssp585,R290,0.8953198431415689
2026,呼和浩特,ssp126,R410A,1.086772152926316
2026,呼和浩特,ssp126,R32,0.5901073628792646
2026,呼和浩特,ssp126,R290,0.5247878761671931
2026,呼和浩特,ssp245,R410A,1.062661261954819
2026,呼和浩特,ssp245,R32,0.5666190422556129
2026,呼和浩特,ssp245,R290,0.4971375614418471
2026,呼和浩特,ssp585,R410A,1.10204379167446
2026,呼和浩特,ssp585,R32,0.604173351200822
2026,呼和浩特,ssp585,R290,0.5356331207874532
2026,济南,ssp126,R410A,1.520372723915029
2026,济南,ssp126,R32,0.9982718743088508
2026,济南,ssp126,R290,1.028649780615521
2026,济南,ssp245,R410A,1.592847128466207
2026,济南,ssp245,R32,1.066574328862974
2026,济南,ssp245,R290,1.107935390777081
2026,济南,ssp585,R410A,1.559088595854634
2026,济南,ssp585,R32,1.035333852957606
2026,济南,ssp585,R290,1.069232613310997
2026,上海,ssp126,R410A,0.8516723573234293
