年份,地点,情景,制冷剂,Provincial_Total_LCTR_pK
2025,沈阳,ssp126,R410A,2094633.24939441
2025,沈阳,ssp126,R32,1021996.859931424
2025,沈阳,ssp126,R290,909448.6433706558
2025,沈阳,ssp245,R410A,1989253.050411504
2025,沈阳,ssp245,R32,999973.9159723847
2025,沈阳,ssp245,R290,895404.5497351784
2025,沈阳,ssp585,R410A,2311968.61041477
2025,沈阳,ssp585,R32,1178833.329299489
2025,沈阳,ssp585,R290,1056051.418307705
2025,长春,ssp126,R410A,572356.4964731178
2025,长春,ssp126,R32,290679.7604223607
2025,长春,ssp126,R290,263136.726681405
2025,长春,ssp245,R410A,512046.4792334276
2025,长春,ssp245,R32,260164.2399171615
2025,长春,ssp245,R290,237108.3607829873
2025,长春,ssp585,R410A,592124.1334287048
2025,长春,ssp585,R32,311175.0220083931
2025,长春,ssp585,R290,291644.364113969
2025,哈尔滨,ssp126,R410A,509609.8742821977
2025,哈尔滨,ssp126,R32,261051.2189770753
2025,哈尔滨,ssp126,R290,231055.3061734801
2025,哈尔滨,ssp245,R410A,447075.094518704
2025,哈尔滨,ssp245,R32,233753.4999650344
2025,哈尔滨,ssp245,R290,213379.6294160813
2025,哈尔滨,ssp585,R410A,466425.9216024096
2025,哈尔滨,ssp585,R32,240147.0338772397
2025,哈尔滨,ssp585,R290,219212.3209357449
2025,北京,ssp126,R410A,767988.722426341
2025,北京,ssp126,R32,463413.4136314755
2025,北京,ssp126,R290,479252.1316156825
2025,北京,ssp245,R410A,722249.0378924233
2025,北京,ssp245,R32,448993.8864099678
2025,北京,ssp245,R290,458265.4920053441
2025,北京,ssp585,R410A,2375167.11950967
2025,北京,ssp585,R32,1504904.512752952
2025,北京,ssp585,R290,1563457.787560715
2025,天津,ssp126,R410A,3984364.737035999
2025,天津,ssp126,R32,2687879.422465921
2025,天津,ssp126,R290,2834534.760064574
2025,天津,ssp245,R410A,4035699.620879338
2025,天津,ssp245,R32,2753732.219449353
2025,天津,ssp245,R290,2908111.804277932
2025,天津,ssp585,R410A,6775131.252511296
2025,天津,ssp585,R32,4698037.951894227
2025,天津,ssp585,R290,5030635.345821877
2025,石家庄,ssp126,R410A,10859298.48086057
2025,石家庄,ssp126,R32,7717673.620523173
2025,石家庄,ssp126,R290,8362798.206601497
2025,石家庄,ssp245,R410A,11240163.17211086
2025,石家庄,ssp245,R32,8107768.650751643
2025,石家庄,ssp245,R290,8865189.965111338
2025,石家庄,ssp585,R410A,11428058.54153981
2025,石家庄,ssp585,R32,8359537.440010048
2025,石家庄,ssp585,R290,9154808.197235053
2025,太原,ssp126,R410A,2413566.987024846
2025,太原,ssp126,R32,1486103.805526975
2025,太原,ssp126,R290,1423061.152782773
2025,太原,ssp245,R410A,2495164.593094002
2025,太原,ssp245,R32,1586064.946874002
2025,太原,ssp245,R290,1527822.539445111
2025,太原,ssp585,R410A,2591871.577354121
2025,太原,ssp585,R32,1659764.366173832
2025,太原,ssp585,R290,1654384.178592852
2025,呼和浩特,ssp126,R410A,649400.235323038
2025,呼和浩特,ssp126,R32,350453.7919356715
2025,呼和浩特,ssp126,R290,308913.7006058206
2025,呼和浩特,ssp245,R410A,571755.8708965115
2025,呼和浩特,ssp245,R32,300045.5998672322
2025,呼和浩特,ssp245,R290,258984.9916126271
2025,呼和浩特,ssp585,R410A,655381.6294058928
2025,呼和浩特,ssp585,R32,360402.9674528435
2025,呼和浩特,ssp585,R290,319712.4944648353
2025,济南,ssp126,R410A,8225934.860982534
2025,济南,ssp126,R32,5478221.032814025
2025,济南,ssp126,R290,5699931.780679431
2025,济南,ssp245,R410A,7905395.189745241
2025,济南,ssp245,R32,5281616.594899293
2025,济南,ssp245,R290,5451536.889274708
2025,济南,ssp585,R410A,8053995.426568223
2025,济南,ssp585,R32,5402973.008611375
2025,济南,ssp585,R290,5587208.788909682
2025,上海,ssp126,R410A,1046125.865468051
2025,上海,ssp126,R32,453441.9324451986
2025,上海,ssp126,R290,335483.7866642369
2025,上海,ssp245,R410A,866268.8765983885
2025,上海,ssp245,R32,372080.6181818425
2025,上海,ssp245,R290,271420.6574641907
2025,上海,ssp585,R410A,2564951.260621716
2025,上海,ssp585,R32,1177817.746864119
2025,上海,ssp585,R290,872871.9992711623
2025,南京,ssp126,R410A,6883759.093188481
2025,南京,ssp126,R32,4710361.874915302
2025,南京,ssp126,R290,4762582.499475026
2025,南京,ssp245,R410A,6195864.332356545
2025,南京,ssp245,R32,4167631.273355391
2025,南京,ssp245,R290,4018548.595215856
2025,南京,ssp585,R410A,9008489.124087952
2025,南京,ssp585,R32,6173816.081122381
2025,南京,ssp585,R290,6054551.23182144
2025,杭州,ssp126,R410A,0.0
2025,杭州,ssp126,R32,0.0
2025,杭州,ssp126,R290,0.0
2025,杭州,ssp245,R410A,0.0
2025,杭州,ssp245,R32,0.0
2025,杭州,ssp245,R290,0.0
2025,杭州,ssp585,R410A,1060290.539135441
2025,杭州,ssp585,R32,634724.0113825104
2025,杭州,ssp585,R290,583100.7021349462
2025,合肥,ssp126,R410A,13467903.15725136
2025,合肥,ssp126,R32,10307385.2088162
2025,合肥,ssp126,R290,11101847.47125648
2025,合肥,ssp245,R410A,12526393.5997057
2025,合肥,ssp245,R32,9405568.246965462
2025,合肥,ssp245,R290,9617293.83448113
2025,合肥,ssp585,R410A,9900460.948319985
2025,合肥,ssp585,R32,7599272.134620838
2025,合肥,ssp585,R290,7920430.525985664
